Manager;Spieler;Position
Thomas;Kane;Sturm
Thomas;Tabaković;Sturm
Thomas;Nusa;Sturm
Thomas;Bakayoko;Sturm
Thomas;Honorat;Sturm
Thomas;Stage;Mittelfeld
Thomas;M. Eggestein;Mittelfeld
Thomas;Kömür;Mittelfeld
Thomas;Schlager;Mittelfeld
Thomas;Dorsch;Mittelfeld
Thomas;Grimaldo;Abwehr
Thomas;Laimer;Abwehr
Thomas;Widmer;Abwehr
Thomas;Hübers;Abwehr
Thomas;Caci;Abwehr
Thomas;Itō;Abwehr
Thomas;Nübel;Tor
Alfons;Asllani;Sturm
Alfons;Schick;Sturm
Alfons;Conteh;Sturm
Alfons;Grifo;Mittelfeld
Alfons;Sano;Mittelfeld
Alfons;Pavlović;Mittelfeld
Alfons;Remberg;Mittelfeld
Alfons;Krauß;Mittelfeld
Alfons;Larsson;Mittelfeld
Alfons;Höfler;Mittelfeld
Alfons;Friedl;Abwehr
Alfons;Kristensen;Abwehr
Alfons;Ginter;Abwehr
Alfons;Pieper;Abwehr
Alfons;Kabak;Abwehr
Alfons;Jenz;Abwehr
Alfons;Agu;Abwehr
Alfons;Ritzka;Abwehr
Alfons;Gimber;Abwehr
Alfons;Omari;Abwehr
Alfons;Schwäbe;Tor
Christoph;Diomande;Sturm
Christoph;Baumgartner;Mittelfeld
Christoph;Amiri;Mittelfeld
Christoph;Avdullahu;Mittelfeld
Christoph;Martel;Mittelfeld
Christoph;Mainka;Abwehr
Christoph;Lukeba;Abwehr
Christoph;Jeltsch;Abwehr
Christoph;Gazibegović;Abwehr
Christoph;Atubolu;Tor
Christoph;F. Müller;Tor
Pascal;Ansah;Sturm
Pascal;Scherhant;Sturm
Pascal;Kramarić;Mittelfeld
Pascal;Irvine;Mittelfeld
Pascal;W. Orbán;Abwehr
Pascal;Elvedi;Abwehr
Pascal;Svensson;Abwehr
Pascal;Can;Abwehr
Pascal;Baumann;Tor
Pascal;L. Philipp;Tor
Andreas;Dompé;Sturm
Andreas;Tiago Tomás;Sturm
Andreas;Rômulo;Sturm
Andreas;Ache;Sturm
Andreas;Doan;Mittelfeld
Andreas;Reitz;Mittelfeld
Andreas;Schmid;Mittelfeld
Andreas;L. Vušković;Abwehr
Andreas;Bensebaini;Abwehr
Andreas;Bernardo;Abwehr
Andreas;Matsima;Abwehr
Andreas;Heuer Fernandes;Tor
Dominik;Luis Díaz;Sturm
Dominik;Pieringer;Sturm
Dominik;Dardari;Sturm
Dominik;Kimmich;Mittelfeld
Dominik;Jóhannesson;Mittelfeld
Dominik;Nartey;Mittelfeld
Dominik;N. Schlotterbeck;Abwehr
Dominik;Chabot;Abwehr
Dominik;K. Schlotterbeck;Abwehr
Dominik;Günter;Abwehr
Dominik;Lucas Vázquez;Abwehr
Dominik;Henrichs;Abwehr
Dominik;Gendrey;Abwehr
Dominik;Kobel;Tor
Nico;Olise;Sturm
Nico;Höler;Sturm
Nico;Fellhauer;Mittelfeld
Nico;Fujita;Mittelfeld
Nico;Lynen;Mittelfeld
Nico;Eriksen;Mittelfeld
Nico;Veratschnig;Mittelfeld
Nico;Doekhi;Abwehr
Nico;Muheim;Abwehr
Nico;Badé;Abwehr
Nico;Ramaj;Tor
Christian;Pereira Lage;Sturm
Christian;Khedira;Mittelfeld
Christian;Chaïbi;Mittelfeld
Christian;Vini Souza;Mittelfeld
Christian;Rexhbeçaj;Mittelfeld
Christian;Schöppner;Mittelfeld
Christian;Jeong;Mittelfeld
Christian;Tapsoba;Abwehr
Christian;Raphaël Guerreiro;Abwehr
Christian;Kim;Abwehr
Christian;Föhrenbach;Abwehr
Christian;Elfadli;Abwehr
Christian;Köhn;Abwehr
Christian;Grabara;Tor
Christian;Zieler;Tor
